Symbol,Description,Market Cap,Last,%Change,Volume,Gross Profit Margin - Current (Annual),Free Cash Flow Per Share - Current (Annual),Return on Equity (ROE) - Current (Annual),PE,EPS,Vol Index,IV_Percentile,HV_Percentile
POOL,POOL CORPORATION COM,"23,185 M",578.36,0.94%,"32,330",28.728,$7.46,69.878,39.18,14.76,33.97%,43.57,18
DHR,DANAHER CORP COM,"221,908 M",310.545,0.28%,"424,929",55.982,$6.56,10.772,39.36,7.89,25.92%,14.48,69
CPRT,COPART INC COM,"36,557 M",154.16,-1.92%,"265,905",49.491,$2.60,31.119,39.53,3.9,27.99%,35.69,18
PSA,PUBLIC STORAGE COM USD0.10,"58,216 M",331.99,-0.46%,"89,419",51.288,-$4.10,22.497,39.66,8.37,24.90%,52.29,51
FAST,FASTENAL COM,"35,200 M",61.2,-0.05%,"355,771",45.47,$0.11,31.826,39.74,1.54,22.80%,18.45,3
TRMB,TRIMBLE INC COM,"21,968 M",87.52,-1.27%,"266,747",53.671,$2.34,11.611,39.78,2.2,30.06%,33.6,39
GPN,GLOBAL PAYMENTS INC COM,"36,605 M",126.16,0.52%,"1,118,454",50.822,$5.77,2.1183,39.8,3.17,34.89%,58.07,89
SPGI,S&P GLOBAL INC COM,"111,393 M",462.21,-0.71%,"505,216",69.121,$10.74,473.48,39.85,11.6,25.45%,32.1,56
LLY,ELI LILLY AND COMPANY COM,"249,871 M",261.21,0.01%,"475,126",77.655,$3.48,150.18,39.88,6.55,33.45%,39.69,27
WM,WASTE MANAGEMENT INC COM,"69,451 M",166.025,0.37%,"270,255",36.385,$2.75,20.606,40.3,4.12,20.08%,28.88,54
DPZ,DOMINOS PIZZA INC COM,"19,325 M",531.48,0.00%,"55,575",38.726,$8.44,<empty>,40.42,13.15,28.84%,34.08,35
ACN,ACCENTURE PLC COM,"234,392 M",371.085,-0.45%,"1,433,331",32.383,$9.49,32.341,40.51,9.16,34.23%,70.77,23
CTLT,CATALENT INC COM,"22,133 M",129.29,-0.58%,"198,824",34.042,$0.92,15.527,40.53,3.19,38.20%,25.57,60
MDT,MEDTRONIC PLC COM,"156,491 M",116.28,-1.32%,"1,715,384",59.697,$1.82,7.0592,40.66,2.86,26.60%,26.49,11
ADI,ANALOG DEVICES INC COM,"100,050 M",186.17,-0.47%,"414,819",58.201,$2.85,10.299,40.74,4.57,27.08%,19.48,35
AWK,AMER WATER WORKS CO INC COM,"31,072 M",171.16,0.24%,"87,196",84.008,-$3.80,11.276,40.75,4.2,23.15%,38.39,55
VMC,VULCAN MATERIALS CO COM,"26,678 M",201.03,-0.49%,"119,901",26.385,$4.20,10.035,41.45,4.85,26.11%,16.94,43
J,JACOBS ENGINEERING GROUP INC COM,"18,960 M",145.495,0.06%,"69,024",19.066,$6.25,8.5295,41.57,3.5,30.92%,36.92,10
IT,GARTNER INC COM,"27,612 M",335.75,0.22%,"34,194",61.848,$6.16,26.293,41.71,8.05,31.75%,32.32,37
EL,ESTEE LAUDER COMPANIES INC COM CL A,"124,095 M",344.76,-2.74%,"760,599",76.355,$4.58,57.446,41.79,8.25,27.08%,35.19,41
CTAS,CINTAS CORP COM,"45,704 M",441.98,-0.58%,"51,039",45.097,$8.89,31.875,41.81,10.57,23.39%,8.27,15
IEX,IDEX CORP COM,"17,931 M",235.84,-0.14%,"21,636",47.189,$3.83,15.73,41.89,5.63,23.54%,18.49,12
AVGO,BROADCOM INC COM,"235,239 M",571.5,0.33%,"239,065",46.676,$11.81,11.815,42.3,13.51,31.58%,37.91,11
MA,MASTERCARD INCORPORATED COM CL A,"342,750 M",348.835,-2.88%,"1,754,914",96.209,$6.39,104.38,42.91,8.13,32.10%,52.43,58
FRT,FED REALTY INVEST TRUST SBI USD0.01,"10,120 M",130.1,0.88%,"136,395",41.604,-$6.10,5.243,42.94,3.03,23.13%,10.61,13
CERN,CERNER CORP COM,"21,655 M",73.6,-0.97%,"354,750",77.554,$2.69,17.729,43.29,1.7,23.97%,23.08,94
TMUS,T-MOBILE US INC COM,"144,209 M",115.455,-1.48%,"768,462",38.937,$8.22,6.5099,43.4,2.66,25.73%,19.54,41
KEYS,KEYSIGHT TECHNOLOGIES INC COM,"35,437 M",192.39,-1.01%,"221,534",60.009,$5.06,19.902,43.53,4.42,32.11%,47.14,23
VRSN,VERISIGN COM,"26,616 M",239.61,0.05%,"68,112",85.757,$5.77,<empty>,44.13,5.43,21.83%,12.22,56
ODFL,OLD DOMINION FREIGHT LINE INC COM,"41,069 M",357.09,-1.06%,"176,287",84.193,$5.24,20.998,44.14,8.09,25.57%,11.2,24
FFIV,F5 INC COM,"14,413 M",237.64,0.38%,"168,731",80.705,$10.67,14.425,44.5,5.34,28.47%,17.72,44
TDY,TELEDYNE TECHNOLOGIES INC COM,"20,909 M",448.15,-0.68%,"15,042",38.264,$11.83,13.524,44.55,10.06,20.36%,2.85,17
BF/B,BROWN-FORMAN CORP COM CL B,"34,669 M",72.4,0.15%,"118,815",60.503,$0.81,38.998,44.97,1.61,31.82%,52.16,47
NKE,NIKE INC COM CL B,"272,181 M",171.96,0.13%,"770,938",44.899,$2.66,55.009,45.61,3.77,28.22%,26.43,31
SHW,SHERWIN-WILLIAMS CO COM,"87,469 M",333.6,0.30%,"172,028",46.108,$8.67,52.505,45.64,7.31,24.94%,35.45,34
COST,COSTCO WHOLESALE CORP COM,"231,008 M",522.85,-0.65%,"427,608",12.885,-$3.11,27.935,46.39,11.27,28.67%,75.45,31
AMT,AMERICAN TOWER CORP COM USD0.01,"116,412 M",255.619,-0.74%,"438,852",48.896,$3.04,36.957,46.48,5.5,24.69%,40.67,44
ROP,ROPER TECHNOLOGIES INC COM,"51,774 M",490.815,0.01%,"40,858",64.102,$9.70,9.5105,46.57,10.54,20.36%,16.27,21
HWM,HOWMET AEROSPACE INC COM,"13,261 M",31.04,-1.40%,"211,132",20.955,$1.48,6.4284,47.03,0.66,31.05%,10.66,38
AMD,ADVANCED MICRO DEVICES INC COM,"186,660 M",154.57,2.13%,"26,380,528",44.525,$1.42,57.479,47.56,3.25,52.11%,61.53,89
CLX,CLOROX CO COM,"20,495 M",166.81,-1.44%,"186,985",43.155,$3.13,107.66,47.66,3.5,21.96%,9.96,12
MTD,METTLER-TOLEDO INTL INC COM,"35,220 M",1532.28,-0.12%,"7,064",56.54,$25.31,171.37,48.11,31.85,27.24%,54.85,21
PYPL,PAYPAL HOLDINGS INC COM,"237,124 M",201.82,-2.16%,"6,733,762",46.616,$5.00,22.773,48.51,4.16,37.61%,31.17,71
LIN,LINDE PLC COM,"169,389 M",330.48,-0.30%,"292,130",24.476,$3.75,5.1893,48.6,6.8,20.79%,7.04,7
CF,CF INDUSTRIES HOLDINGS INC COM,"14,421 M",67.24,3.00%,"2,227,717",20.199,$3.03,10.895,48.72,1.38,39.94%,39.41,27
WMT,WALMART INC COM,"392,941 M",140.915,-0.72%,"2,399,864",24.83,$4.12,17.366,49.27,2.86,20.13%,17.31,33
EA,ELECTRONIC ARTS INC COM,"38,298 M",135.42,-1.97%,"705,372",72.926,$3.73,10.94,49.79,2.72,34.04%,30.47,40
A,AGILENT TECHNOLOGIES INC COM,"48,601 M",160.545,-0.62%,"553,139",53.137,$2.90,14.946,50.01,3.21,33.09%,56.56,45
HAL,HALLIBURTON CO COM,"20,221 M",22.59,-1.65%,"2,119,107",12.835,$0.13,-45.357,50.2,0.45,42.88%,9.87,4
EW,EDWARDS LIFESCIENCES CORP COM,"73,125 M",117.125,-1.04%,"365,793",75.364,$0.96,18.88,50.27,2.33,30.90%,36.61,40
CRL,CHARLES RIVER LABORATORIES COM,"19,660 M",389.58,-0.90%,"53,205",32.889,$8.03,19.434,50.33,7.74,26.96%,19.52,97
MKTX,MARKETAXESS HLDGS INC COM,"13,992 M",367.9502,-3.89%,"79,490",89.829,$7.13,34.707,50.34,7.31,33.33%,35.59,19
ROL,ROLLINS INC COM,"17,679 M",35.93,-0.08%,"135,420",47.394,$0.41,29.688,50.61,0.71,24.72%,19.7,88
